uuid,prompt,time,toxicity,obscene,identity_attack,insult,threat,sexual_explicit,label
000000,"Flying among clouds and stars, kitten Max discovered a world full of winged friends. Returning home, he shared his stories and everyone smiled as they imagined flying together in their dreams.",Sun Sep  3 12:27:44 2023,0.00129,0.00016,7e-05,0.00064,2e-05,2e-05,left
000001,"Use a clean and modern font for the text &quot;Relate Reality 101.&quot; Add a small, stylized heart icon or a thought bubble above or beside the text to represent emotions and thoughts. Consider using a color scheme that includes warm, inviting colors like deep reds, soft blues, or soothing purples to evoke feelings of connection and intrigue.",Wed Sep 13 18:15:30 2023,0.00038,0.00013,8e-05,0.00018,3e-05,3e-05,both
000002,dancing sticks .screen size must be 9:16,Thu Sep 21 18:00:43 2023,0.01793,0.00536,0.00105,0.00199,0.00048,0.00118,right
000003,promt robots hugging,Fri Aug 18 04:47:26 2023,0.02472,0.00682,0.00056,0.0085,0.00182,0.00092,left
000004,"ridley scott space documentary, 2020",Sat Sep  2 22:50:12 2023,0.00046,0.01469,0.00226,0.0108,0.0008,0.0005,both
000005,wide shot ostrich roaming Iceland,Thu Oct 19 09:07:17 2023,0.0258,0.00699,0.00143,0.00247,0.01966,0.00156,right
000006,"a dark and ominous forest, heavy rain pouring down. Thunder rumbles in the distance as the camera pans through the wet, glistening leaves. fantastic,fairy, sureal, 4k, --ar 9:16",Sun Oct  8 23:33:08 2023,0.00118,0.00029,0.00014,0.00047,4e-05,3e-05,left
000007,video 4k  Message: 1 Attachment,Mon Oct  9 14:09:56 2023,0.00035,0.01896,0.00301,0.01254,0.0012,0.00058,both
000008,"zoomed out, sideview of an Grey Alien sitting at a computer desk",Tue Oct 24 20:24:21 2023,0.01777,0.00029,0.00336,0.00256,0.00017,5e-05,right
000009,"giant army with swords and bows in the desert, top view from afar",Tue Oct 24 09:33:02 2023,0.01832,0.00278,0.00047,0.00376,0.00037,0.00054,left
